"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 31 17:54:11 UTC 2022","Mon Oct 31 17:54:12 UTC 2022","977","","Events page","","Events page","should trigger mouse down event","should trigger mouse down event",""
"passed","Mon Oct 31 17:53:19 UTC 2022","Mon Oct 31 17:53:20 UTC 2022","700","","Alerts page","","Alerts page","should open confirm which can correct handle answer","should open confirm which can correct handle answer",""
"passed","Mon Oct 31 17:54:11 UTC 2022","Mon Oct 31 17:54:11 UTC 2022","960","","Events page","","Events page","should trigger mouse leave event","should trigger mouse leave event",""
"passed","Mon Oct 31 17:53:27 UTC 2022","Mon Oct 31 17:53:28 UTC 2022","729","","Events page","","Events page","should trigger click event","should trigger click event",""
"passed","Mon Oct 31 17:53:50 UTC 2022","Mon Oct 31 17:53:53 UTC 2022","2729","","CSS Media Size page","","CSS Media Size page","should dynamically change depending on the size of the window","should dynamically change depending on the size of the window",""
"passed","Mon Oct 31 17:53:47 UTC 2022","Mon Oct 31 17:53:58 UTC 2022","10697","","Progress bars page","","Progress bars page","should change text when all progress bars are stopped","should change text when all progress bars are stopped",""
"passed","Mon Oct 31 17:54:10 UTC 2022","Mon Oct 31 17:54:11 UTC 2022","899","","Events page","","Events page","should trigger mouse over event","should trigger mouse over event",""
"passed","Mon Oct 31 17:53:25 UTC 2022","Mon Oct 31 17:53:27 UTC 2022","1593","","Drag and drop page","","Drag and drop page","","",""
"passed","Mon Oct 31 17:54:07 UTC 2022","Mon Oct 31 17:54:08 UTC 2022","847","","Events page","","Events page","should trigger key down event","should trigger key down event",""
"passed","Mon Oct 31 17:53:49 UTC 2022","Mon Oct 31 17:53:52 UTC 2022","3662","","Cookies page","","Cookies page","should set cookie","should set cookie",""
"passed","Mon Oct 31 17:53:39 UTC 2022","Mon Oct 31 17:53:41 UTC 2022","1588","","Frames page","","Frames page","should contains frame with element with expected id","should contains frame with element with expected id",""
"passed","Mon Oct 31 17:53:33 UTC 2022","Mon Oct 31 17:53:34 UTC 2022","950","","Events page","","Events page","should trigger mouse over event","should trigger mouse over event",""
"passed","Mon Oct 31 17:53:45 UTC 2022","Mon Oct 31 17:53:46 UTC 2022","1275","","Hover page","","Hover page","should contains working link, which displayed after hover on div","should contains working link, which displayed after hover on div",""
"passed","Mon Oct 31 17:53:44 UTC 2022","Mon Oct 31 17:53:47 UTC 2022","2982","","HTML5 form page","","HTML5 form page","should correctly handle form","should correctly handle form",""
"passed","Mon Oct 31 17:53:42 UTC 2022","Mon Oct 31 17:53:45 UTC 2022","3111","","Hover page","","Hover page","should contains text which visible after hover on paragraph","should contains text which visible after hover on paragraph",""
"passed","Mon Oct 31 17:53:53 UTC 2022","Mon Oct 31 17:54:06 UTC 2022","13127","","First dynamic buttons page","","First dynamic buttons page","should contains button which appears and be clickable","should contains button which appears and be clickable",""
"passed","Mon Oct 31 17:54:16 UTC 2022","Mon Oct 31 17:54:18 UTC 2022","1584","","Frames page","","Frames page","should contains with working link which leading to main page","should contains with working link which leading to main page",""
"passed","Mon Oct 31 17:53:32 UTC 2022","Mon Oct 31 17:53:33 UTC 2022","857","","Events page","","Events page","should trigger key press event","should trigger key press event",""
"passed","Mon Oct 31 17:53:35 UTC 2022","Mon Oct 31 17:53:36 UTC 2022","975","","Events page","","Events page","should trigger mouse down event","should trigger mouse down event",""
"passed","Mon Oct 31 17:53:18 UTC 2022","Mon Oct 31 17:53:22 UTC 2022","4387","","Basic ajax page","","Basic ajax page","should change dynamically after an ajax call is triggered","should change dynamically after an ajax call is triggered",""
"passed","Mon Oct 31 17:54:01 UTC 2022","Mon Oct 31 17:54:03 UTC 2022","2035","","Events page","","Events page","should trigger blur event","should trigger blur event",""
"passed","Mon Oct 31 17:54:04 UTC 2022","Mon Oct 31 17:54:05 UTC 2022","1113","","Events page","","Events page","should trigger contextMenu event","should trigger contextMenu event",""
"passed","Mon Oct 31 17:53:37 UTC 2022","Mon Oct 31 17:53:38 UTC 2022","1013","","Alerts page","","Alerts page","should open prompt and correctly handle typed text","should open prompt and correctly handle typed text",""
"passed","Mon Oct 31 17:53:54 UTC 2022","Mon Oct 31 17:53:56 UTC 2022","1993","","Window and links page","","Window and links page","should open another page in new tab","should open another page in new tab",""
